Compound Name,Compound Class,Chromatography - ion mode,Compound Name Leg,Formula,Mass,RT,CAS ID,blank-1,blank-2,blank-3,P H-433,P H-457,P H-458,P H-459,P H-460,P H-461,P H-462,P H-463,P H-464,P H-466,P H-467,P H-468,P H-469 -1,P H-469 -2 ,P H-470,P H-471,P H-472,P H-473,P H-474,P H-475,P H-476,P H-477,P H-478,P H-479,P H-480,P H-481,P H-482,P H-483,P H-484,P H-485,P H-486,P H-487,P H-488,P H-489,P H-490,P H-491,P H-492,P H-495,P H-496,P H-497,P H-498,P H-499,P H-501,P H-502,P H-504,P H-505,P H-506,P H-507,P H-509,P H-510,P H-511,P H-512,P H-513,P H-514,P H-515,P H-516,QC-P pool-1,QC-P pool-2,QC-P pool-3,QC-P pool-4,QC-P pool-5,QC-P pool-6
75_Indole 3 lactic acid,covid_id_updated,pHILICneg,pHILICneg_75_Indole 3 lactic acid,C11H11NO3,205.073893,1.98,,3620,3029,2517,86370,215969,16092,36209,47312,130553,375003,28531,94754,160923,19525,35409,55556,16812,89706,30045,164752,16628,67090,46294,605361,229716,103463,22718,493040,120973,55050,64379,21451,22737,175009,14656,18668,91201,72250,273896,41643,21440,63999,47115,78039,26367,48115,159626,28348,141972,44869,66310,21707,21276,37146,29266,45201,15063,434303,27641,116015,102267,87026,96075,103576,115908
76_ISOLEUCINE,covid_id_updated,pHILICneg,pHILICneg_76_ISOLEUCINE,C6H13NO2,131.094629,4.41,,1833,1955,3626,188195,326791,192482,401108,272355,356397,232319,321485,289276,274675,245128,461646,328023,249399,276784,260489,400073,203422,275665,323192,600004,305340,364995,263123,341001,202604,253171,226991,256188,290569,344226,204798,208574,433936,354031,215840,416397,263967,256976,439658,245044,330158,295621,554060,288703,383306,478659,281823,307926,197780,340957,309794,443687,231797,264873,390277,293254,328048,330401,328620,331190,345340
77_Kynurenic acid,covid_id_updated,pHILICneg,pHILICneg_77_Kynurenic acid,C10H7NO3,189.042593,1.2,,1961,1922,957,7847,5644,6149,4111,5202,4387,3507,6240,2883,3373,1876,4151,4577,3635,3042,4603,1813,4381,2359,1042,5736,3883,5379,2719,5121,5350,2853,3048,6147,3681,1822,2938,3763,4948,5686,4683,13170,3583,4966,3873,3683,5790,4059,9966,4923,18032,4135,3354,985,6914,8827,3368,6169,2727,4381,3838,3616,6104,3948,4225,3001,7011
78_KYNURENINE,covid_id_updated,pHILICneg,pHILICneg_78_KYNURENINE,C10H12N2O3,208.084792,4.26,,906,102,2013,7541,5291,9380,11765,6977,7166,7940,18827,6299,3586,6203,15654,8665,6206,6504,17860,5811,3989,7321,5094,4477,4946,4784,5860,9828,4024,2238,7556,10254,12116,5503,12846,10645,5142,6126,5091,10733,9652,8312,6431,7910,2717,7284,9730,11091,12382,6201,5114,10515,8176,13194,18484,15583,5451,8725,12852,5231,6641,7208,7719,6289,8790
79_L   Lactic acid,covid_id_updated,pHILICneg,pHILICneg_79_L   Lactic acid,C3H6O3,90.031694,2.77,,122361,110678,92958,33548284,85345576,44588032,41146508,59886660,70855376,98703064,63238208,58110580,117553888,28242196,59132692,96100200,32205092,55037936,41490216,59593880,32297850,67800800,58384172,122798080,83593424,70002856,28858592,134809840,65220284,54520520,53341264,25994564,26444464,94628248,21825082,30489898,71598584,62568276,92956048,50957208,25979016,54397928,58644996,66254332,54293412,39892996,83204288,39385092,95038936,47262920,46279544,34261008,30840338,44948380,47179816,41286440,19271340,71563856,37579952,60062092,57861772,58666532,61440020,61285816,64179860
80_L   Malic acid,covid_id_updated,pHILICneg,pHILICneg_80_L   Malic acid,C4H6O5,134.021523,7.73,,47093,35472,34778,649935,424853,267354,336416,672609,477279,815716,584581,388102,823215,283801,637159,1184340,237080,279389,291153,466298,191603,675307,666711,1507454,865593,1084936,184576,1337161,507509,307039,308292,316846,685848,789441,342419,333077,744216,1048656,542541,1040540,225787,408736,760621,689376,836554,258524,1344158,558880,2047876,627714,508844,480475,307363,346882,485870,444497,66804,270171,412240,587927,564335,637082,586724,575496,622765
81_L   Tartaric acid,covid_id_updated,pHILICneg,pHILICneg_81_L   Tartaric acid,C4H6O6,150.016438,8.21,,1026,1893,138,1097,3789,5606,3016,6080,6206,401,5158,891,2288,2394,70,948,3765,2787,1923,4964,1569,1108,4848,4252,1441,1758,8457,2623,1646,3109,3572,2711,3091,1886,5047,2809,3528,1872,3129,2253,1031,4051,1103,2082,2906,2143,2042,2554,3057,1817,4825,2241,8338,7608,3888,379,13241,2163,739,5674,4076,3533,5020,4099,5539
82_L Aspartic acid,covid_id_updated,pHILICneg,pHILICneg_82_L Aspartic acid,C4H7NO4,133.037508,6.87,,3541,7467,4919,16701,10319,3308,7177,2896,5534,100414,1819,5432,87727,8660,435792,182390,4344,6162,4777,7347,5108,180469,9978,78700,118113,206981,5493,395120,11840,7936,7035,4960,2740,105061,4336,5345,6137,13838,4372,109995,5931,6920,122118,8414,176083,4257,189400,5334,216682,63405,4697,100129,4837,6944,297238,187557,1709,5042,254273,7511,10597,10486,12091,9178,10174
83_L Cysteine S sulfate,covid_id_updated,pHILICneg,pHILICneg_83_L Cysteine S sulfate,C3H7NO5S2,200.976564,7.35,,723,669,564,8809,44003,25984,13249,16520,76405,40726,19040,5674,29559,1449,54832,23286,7844,2175,17313,14929,2741,18947,9586,23054,30670,16403,21215,6636,2351,787,18928,28842,7657,19163,27897,31715,9078,5053,9008,15653,6777,6089,13394,15170,10153,2736,34746,16751,18662,14145,5845,26241,30735,21144,34389,37068,4146,10510,32626,20387,23328,19409,12226,12784,31560
84_L Glutamic acid,covid_id_updated,pHILICneg,pHILICneg_84_L Glutamic acid,C5H9NO4,147.053158,6.62,,1720,5470,4278,146465,243976,198455,119469,208111,246102,331160,137867,165788,539156,82545,311178,399740,105617,105941,114910,218846,74922,316501,255054,522332,342452,320847,137686,630637,159917,92637,161569,113370,175920,269721,115054,127385,218193,153853,114736,316956,87612,177932,241181,188679,279039,98846,359567,112290,519934,216747,142653,265377,77266,127977,272251,318377,46304,131428,203154,239385,188646,199123,200805,197072,232431
85_L Histidine,covid_id_updated,pHILICneg,pHILICneg_85_L Histidine,C6H9N3O2,155.069477,6.3,,3836,1689,1809,461917,362513,502409,618137,73996,604532,82210,566246,567637,371529,518083,716960,51655,445336,460062,421979,254181,650728,732835,583668,814012,98151,616348,80601,71278,366409,523738,719513,282731,518472,116367,167947,73286,71459,568527,115923,258942,413250,498140,411940,476985,736161,538126,480742,405047,381635,48346,375548,104085,72949,506993,616351,617166,223134,274230,874473,14810,140853,424785,502998,564986,564573
86_L Iditol,covid_id_updated,pHILICneg,pHILICneg_86_L Iditol,C6H14O6,182.079038,5.44,,805,1348,2264,4280,14158,14389,22709,13092,16147,9295,23052,14180,14047,17263,30315,6565,12166,20744,21615,17884,16480,24559,16604,28666,5548,27069,8814,10717,17019,10692,19068,15564,17655,13954,11039,9995,10073,19840,14419,18238,14434,19566,18165,16095,15011,19592,26589,17427,16862,3827,16071,3886,15843,24214,19413,20223,14500,11530,26151,1641,9109,14929,20547,15310,21633
87_L Serine,covid_id_updated,pHILICneg,pHILICneg_87_L Serine,C3H7NO3,105.042593,6.87,,6309,1520,3451,10919,10529,11324,14306,10556,15640,127829,16647,11556,34426,9625,221841,134268,16787,8318,10903,16656,8934,201378,19059,39802,108634,178561,23273,79789,13978,11925,14747,11827,10075,96741,14515,15896,18540,14618,9056,141421,10253,12899,111522,11832,197382,11730,153336,13164,101536,125491,12190,184130,12234,13808,219381,188114,14925,10053,209251,14143,14561,17975,17892,14856,17835
88_L Threonic acid,covid_id_updated,pHILICneg,pHILICneg_88_L Threonic acid,C4H8O5,136.037173,5.16,,5746,5483,6234,418394,199086,180761,281993,290512,88101,175993,209768,84050,129968,112835,187857,359660,466075,122884,211365,245118,79259,164747,99161,192757,366911,102787,323097,165472,116798,119972,67894,353021,408082,135489,546883,402833,206181,117830,206833,128159,209711,63929,104847,222020,80180,128488,104039,198270,76465,451930,178141,399761,432782,290180,60173,170439,344490,183882,88239,271316,267131,137293,137071,180797,153519
89_L Tyrosine,covid_id_updated,pHILICneg,pHILICneg_89_L Tyrosine,C9H11NO3,181.073893,5.44,,1675,1026,710,62026,138679,144896,229910,104548,170491,203631,250054,137994,155884,169761,288126,185446,139886,186852,187779,213030,132798,239603,210014,307292,192805,255760,236474,204452,180113,114687,190411,163665,138616,169478,137085,180382,234582,164825,147200,186679,131054,165217,189667,138555,150041,196197,263392,156635,167507,185277,146424,241640,160060,237160,199957,205981,168032,134558,226988,172041,177125,189411,184740,199578,190859
90_Lacosamide,covid_id_updated,pHILICneg,pHILICneg_90_Lacosamide,C13H18N2O3,250.131743,1.12,,47777,44130,45416,57286,56871,63039,62091,57623,53722,52245,60172,53200,58934,53426,60260,58846,54995,57832,58350,54797,57922,53015,51615,67898,56880,58691,66489,57215,57598,53673,57032,62095,58919,57053,56460,53544,56993,58157,51160,70621,56127,56702,58392,52123,50925,60833,61018,59030,60042,59311,59121,65536,58519,58932,57676,60242,57443,55695,59117,65547,56552,56173,60406,63025,59460
91_L-ASPARAGINE,covid_id_updated,pHILICneg,pHILICneg_91_L-ASPARAGINE,C4H8N2O3,132.053492,6.62,,2374,1797,1119,17543,13918,24480,23869,18189,27778,39697,34166,33753,33377,16050,87462,40498,28230,23128,24874,34604,19353,52924,27546,43043,37222,36238,53404,33394,24662,14283,31865,21509,17890,32614,29340,38697,33056,24326,17956,29555,11325,10216,38348,15992,29656,13793,26273,24786,35683,40654,23656,88959,21198,30501,40805,41010,26529,21140,42774,24246,25255,28704,21399,24779,22723
92_Lauric acid,covid_id_updated,pHILICneg,pHILICneg_92_Lauric acid,C12H24O2,200.17763,0.84,,20763,22797,21091,43812,65965,61513,42791,88410,57103,90127,52141,53849,63252,59634,81029,85474,68745,56722,65773,68940,63920,61386,67931,63844,81548,66734,254821,78068,62950,75430,62869,69501,53773,55148,106300,69585,55665,68222,80162,50668,65724,47692,87454,73345,112416,62709,62744,57567,70678,67447,63012,60604,52624,70215,61594,69480,42092,62787,76319,79147,70065,58313,74021,52792,60389
93_Levulinic acid,covid_id_updated,pHILICneg,pHILICneg_93_Levulinic acid,C5H8O3,116.047344,1.17,,4128,221,4106,54212,104509,127498,179852,195095,206065,177247,213933,110553,81814,104493,219606,170998,148744,86991,136582,213689,131817,158303,129005,164181,175030,180889,161545,248566,116703,120392,201807,138012,117897,167677,192529,148074,230447,135066,111896,171019,100912,120514,207337,127824,144031,104415,148371,107352,175151,194699,99608,167211,126998,132467,141220,88032,119319,128709,206682,181054,174460,135861,144074,139788,159639
94_Linolenic acid,covid_id_updated,pHILICneg,pHILICneg_94_Linolenic acid,C18H30O2,278.22458,0.79,,4815,3968,3393,1875157,2120986,2994837,1306804,4109200,2596223,5304068,1939176,3307774,2450870,2205125,2904175,6796530,2636814,3413667,1636772,3717049,3487662,5158917,5896732,2446504,5103849,5139255,2540618,2851613,3389381,3857808,2053307,1742591,1448956,4734367,4295171,1904744,1815920,4213051,2595253,3299541,3407549,2306851,4848159,4427104,5153089,3193303,3141910,2484976,4692975,2618319,3020322,3467337,1884517,1177596,4961866,4847434,1771540,3594221,6299191,3647339,3370790,3364866,3424153,3355444,3403834
95_L-Isoleucine,covid_id_updated,pHILICneg,pHILICneg_95_L-Isoleucine,C6H13NO2,131.094629,4.41,,2315,2082,3996,249929,381756,253739,458828,282339,489374,236757,365778,315055,336970,306497,553540,336421,270728,279782,294964,403040,243780,292865,368365,680435,326209,413599,273052,344732,283200,263016,387161,253190,326731,349181,209005,222326,439072,435793,237281,439998,285044,369810,466949,307075,386534,404826,630974,351393,438091,487478,317564,308024,185625,366234,468285,552545,238761,304747,478505,299355,326233,364616,388523,367061,461997
96_L-Proline,covid_id_updated,pHILICneg,pHILICneg_96_L-Proline,C5H9NO2,115.063329,5.16,,1789,737,3543,130432,116754,115974,220170,103117,255650,214767,252020,151219,238572,121480,300953,147475,188662,117492,197077,235022,88847,192124,149424,226186,164535,276436,212667,223910,147786,99096,186369,144097,176926,148737,130645,211193,176275,178808,150585,195740,135146,169028,139638,108961,150021,167626,157052,187541,194189,182302,151024,238231,170152,185895,184639,162487,157473,147377,194369,179641,160714,175276,172968,168937,174551
97_Myristic acid,covid_id_updated,pHILICneg,pHILICneg_97_Myristic acid,C14H28O2,228.20893,0.81,,35747,33705,47996,390012,541971,465943,491165,870414,821239,1456213,490905,851811,744889,564199,856318,1419771,534107,610381,339037,938579,701520,893020,1035973,914044,1078965,980854,1526586,1058253,646905,822874,704065,565297,412398,1028710,747779,423634,621679,712651,1046259,591137,787949,763789,1301861,800897,1312269,658468,609078,611878,809297,646034,562531,657688,479245,507024,717213,995307,307423,720583,1311090,897392,822344,807593,785363,779533,805170
100_N Acetyl DL norvaline,covid_id_updated,pHILICneg,pHILICneg_100_N Acetyl DL norvaline,C7H13NO3,159.089543,1.19,,1950,1862,2368,12462,15422,17258,13726,47664,11490,17033,36014,10490,20893,12365,17413,132340,13399,19232,14521,10910,7200,13221,34111,38181,21394,51805,13346,14988,19815,13072,14303,25834,15646,31215,17944,13484,49062,81215,18012,39779,9173,17883,22748,29418,13408,9452,241017,28166,98341,25735,13369,19765,19217,24363,17277,23111,11946,15970,15790,37690,27194,30575,28506,32971,32830
101_N Acetyl DL tryptophan,covid_id_updated,pHILICneg,pHILICneg_101_N Acetyl DL tryptophan,C13H14N2O3,246.100442,1.19,,119573,118611,128664,140700,134262,138070,129018,121926,129922,112356,125799,119393,148070,144791,133103,126430,139580,129662,127532,126995,139532,129530,136048,116968,142516,137483,133358,124128,133589,142621,146066,139163,137521,138265,138336,138867,139676,139525,126111,139927,115243,140025,104405,133490,131029,139665,148355,139227,147562,134425,134930,130464,148599,141889,138628,147464,135139,126123,134436,147114,136042,122544,140660,134342,148746
102_N Acetyl L methionine,covid_id_updated,pHILICneg,pHILICneg_102_N Acetyl L methionine,C7H13NO3S,191.061614,1.19,,579,939,664,7787,7809,8228,14819,14454,7809,6447,25179,9500,27401,6895,10634,19330,13557,11077,15954,17781,7045,13273,15518,32101,17749,26999,11321,36935,15622,8285,9092,14636,7654,14412,10099,16276,19063,20124,8469,18961,9061,11043,9463,9813,12653,9829,19475,19055,14221,20637,9799,25270,13417,16059,14410,13563,11525,4195,18142,15408,12285,13628,14572,16810,17210
103_N Acetylalanine,covid_id_updated,pHILICneg,pHILICneg_103_N Acetylalanine,C5H9NO3,131.058243,1.84,,70,852,903,2692,1762,535,1883,1407,1072,807,1387,1928,744,1368,1603,1802,1709,2082,118,2530,1797,2433,1604,1795,2490,2069,2763,3721,2271,2406,2029,1350,1685,1775,2466,794,3485,2708,2017,2868,1773,1261,569,1557,1320,2177,1863,1199,618,1416,1321,2059,908,2295,820,1001,703,863,2215,2680,2596,2158,2005,933,2827
104_N Isobutyrylglycine,covid_id_updated,pHILICneg,pHILICneg_104_N Isobutyrylglycine,C6H11NO3,145.073893,1.19,,2501,1338,1897,9003,5457,6459,8405,24873,3756,5151,23583,3622,9577,6875,6015,52314,6237,6263,3731,5122,4483,8306,17020,28367,7914,51684,4957,5277,11576,5636,6584,13178,12473,17175,11602,4761,26221,34585,8206,27458,4510,8911,10518,11912,6475,2922,95746,17523,65096,10568,6158,5998,8265,9648,6111,8217,4400,6633,6765,13024,15753,16641,13353,13306,12377
106_N-ACETYLASPARTATE,covid_id_updated,pHILICneg,pHILICneg_106_N-ACETYLASPARTATE,C6H9NO5,175.048072,7,,1337,442,1170,5243,7366,8846,14519,24760,10719,41836,16243,10534,67912,9224,41238,63786,15590,7056,14793,44776,10261,44382,14823,56125,37581,65911,12882,121306,22094,10826,11240,27156,11590,35330,18342,20080,29690,19629,16096,54179,8191,10946,26110,13421,58096,8818,76909,11670,50444,26532,16308,23781,11554,17463,59564,15324,12823,13703,42474,28578,24386,17857,13220,13289,13306
109_Nonanoic acid,covid_id_updated,pHILICneg,pHILICneg_109_Nonanoic acid,C9H18O2,158.13068,0.86,,324042,309597,292286,126845,226323,127584,188063,139461,169299,205287,264476,217690,172302,151369,117765,163742,263499,242550,205536,316890,172638,276144,161250,160252,119347,114460,278239,119150,307039,176951,183293,122966,212126,207904,214093,156378,268766,260150,146862,179698,126242,120496,107529,98308,155215,151547,170852,206140,113099,130873,220939,141481,91973,199372,193781,218411,119726,212971,167020,164972,165262,154681,170800,161739,161772
110_Oleic acid,covid_id_updated,pHILICneg,pHILICneg_110_Oleic acid,C18H34O2,282.25588,0.79,,24141,25334,8805,12880094,19459024,18534124,20460746,27535320,30980398,52200184,29088642,38790304,29525276,20818152,37515780,55261804,18032292,18391488,10685278,32710092,29796526,37701748,33870208,46601756,45882084,35468800,24392324,50151116,21305952,22916408,23625002,18031158,18984882,52286732,20328234,15902246,23475470,25489872,30554122,24724164,27061330,30053128,52020616,29562644,41877788,20429352,28338616,27017836,42323556,26062200,18577514,33984340,16958984,15827873,33309904,32549530,9050403,31572942,51373216,34701176,30191200,28877664,29592778,29144008,29643842
111_Paracetamol,covid_id_updated,pHILICneg,pHILICneg_111_Paracetamol,C8H9NO2,151.063329,1.07,,4829,3073,2459,4612,7751,7538,8100,8699,11875,11211,7901,8859,12084,9918,6127,9211,8311,5907,11623,10227,9221,9502,8696,18107,9732,19806,10428,11344,8260,4502,6427,5462,6756,7554,4120,9092,10417,9463,6707,15163,5958,10635,7966,9485,12803,7567,19588,11148,17650,6857,9667,8435,11564,10845,14767,6176,4768,6262,5971,9278,10381,10796,10423,9908,9527
112_Pentadecanoic acid,covid_id_updated,pHILICneg,pHILICneg_112_Pentadecanoic acid,C15H30O2,242.22458,0.79,,14190,8480,12971,365843,285693,524247,291895,715753,381979,602116,212765,297823,318624,366334,535151,1104832,274086,689581,253956,381946,702196,655761,720268,486048,549196,432653,1179938,434838,405123,704814,314498,403468,297409,621637,309128,239531,260301,447616,616073,340397,412281,331648,748494,698712,886795,319702,400365,316213,469814,307863,457251,301806,438062,313538,661734,746503,170658,521055,606673,601079,479387,477867,449681,478131,500601
113_Phenylalanine,covid_id_updated,pHILICneg,pHILICneg_113_Phenylalanine,C9H11NO2,165.078979,3.76,,1477,2229,2462,217088,251636,280917,390279,250931,272908,274497,401955,212058,335693,292690,629276,492340,347203,272975,318513,293813,244687,437497,360434,698230,457822,418853,362881,324165,253008,244708,289536,284345,308396,342900,370167,334252,430791,385266,210906,342607,233990,252414,458875,329217,426135,293689,585571,313306,441300,352110,293715,510106,259592,342260,447635,501317,276295,268638,505264,337046,340097,320537,352800,356060,385966
115_Pseudouridine,covid_id_updated,pHILICneg,pHILICneg_115_Pseudouridine,C9H12N2O6,244.069536,4.79,,871,1605,697,172477,339987,273155,295276,282965,328164,340309,312891,270171,229423,247383,271780,309741,258474,310864,295657,273372,246083,310932,262698,408270,325403,281474,252954,314827,358884,284210,304542,252572,257223,340864,304199,252100,300515,262093,380185,366662,245227,262099,237349,315465,270027,295064,408752,302727,360934,308908,261784,248658,233141,255398,293902,299666,222824,317234,318934,323518,278294,308335,309340,299649,313813
